,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA
94091,4.25,309000,80,42,779,0,47900
94092,4.25,390000,80,28,706,0,31100
94093,4.25,589000,50,36,789,0,31080
94094,3.875,76000,62,42,728,0,0
94095,4.375,254000,64,35,800,0,35620
94096,4.0,202000,65,42,775,0,39380
94097,3.5,82000,68,44,766,0,41980
94098,4.25,289000,80,40,781,0,40060
94099,3.875,110000,50,40,752,0,40660
94100,3.75,146000,70,28,783,0,16740
94101,3.875,289000,56,38,689,0,47900
94102,4.125,266000,79,24,759,0,26420
94103,4.875,126000,75,43,654,0,38060
94104,4.375,232000,80,36,706,0,0
94105,3.75,206000,79,27,770,0,0
94106,3.875,250000,24,45,798,0,42660
94107,3.875,284000,70,37,734,0,28940
94108,3.875,405000,45,39,628,0,41940
94109,3.875,304000,79,29,794,0,31540
94110,3.75,417000,62,32,791,0,35620
94111,4.0,267000,75,21,764,0,16020
94112,4.5,196000,80,13,728,0,31540
94113,3.875,417000,58,45,648,0,40140
94114,4.12,175000,69,27,727,0,35380
94115,3.75,121000,80,43,685,0,0
94116,5.0,161000,87,31,662,0,14540
94117,4.125,250000,70,50,692,0,14460
94118,3.875,213000,60,34,784,0,41860
94119,4.0,136000,80,19,763,0,13740
94120,3.896,303000,67,43,790,0,31080
94121,4.0,380000,50,39,806,0,41860
94122,4.375,133000,80,19,724,0,12940
94123,4.125,104000,80,43,724,0,26980
94124,3.625,115000,39,43,712,0,20260
94125,4.5,176000,95,27,748,0,33460
94126,3.875,379000,64,21,789,0,41860
94127,4.0,89000,95,38,671,0,48620
94128,4.5,520000,73,22,713,0,42220
94129,4.06,188000,60,39,795,0,19820
94130,4.5,128000,54,36,676,0,14540
94131,4.625,114000,80,35,689,0,26900
94132,4.125,211000,72,45,786,0,29100
94133,3.875,417000,58,36,721,0,47900
94134,4.625,76000,67,34,770,0,47380
94135,3.99,348000,80,32,785,0,41860
94136,4.25,143000,75,39,712,0,17900
94137,3.75,200000,80,34,809,0,43620
94138,4.125,352000,80,44,727,0,47900
94139,3.875,110000,90,37,746,0,12420
94140,3.875,252000,84,42,769,0,35380
94141,4.5,225000,75,43,630,0,33460
94142,3.5,412000,80,32,783,0,34980
94143,4.5,82000,80,36,670,0,41180
94144,4.5,65000,25,27,644,0,14460
94145,3.625,409000,73,42,784,0,31080
94146,3.99,150000,49,28,808,0,39300
94147,3.75,244000,80,45,765,0,36260
94148,4.375,122000,90,37,720,0,32820
94149,3.99,104000,80,43,813,1,16980
94150,4.375,240000,80,33,713,0,31080
94151,4.375,120000,73,14,759,0,19380
94152,4.375,80000,78,42,801,1,0
94153,3.869,405000,64,18,772,0,18140
94154,3.8,409000,55,46,754,0,37980
94155,3.99,220000,66,26,774,0,40140
94156,4.25,200000,62,45,723,0,31080
94157,4.125,240000,88,30,747,0,14460
94158,3.875,135000,55,25,793,0,31080
94159,4.375,346000,65,27,727,0,41940
94160,3.875,100000,80,10,794,0,0
94161,4.99,210000,77,42,682,0,14460
94162,4.5,200000,80,37,703,0,19740
94163,3.875,417000,58,4,709,0,37980
94165,4.25,215000,48,33,787,0,35620
94166,3.75,405000,43,33,799,0,41500
94167,4.375,250000,58,23,790,0,10580
94168,3.75,99000,90,22,672,1,0
94169,3.75,129000,83,42,748,0,12420
94170,4.0,157000,69,33,756,0,33100
94171,4.125,68000,69,39,797,0,30460
94172,3.875,348000,92,25,750,0,35620
94173,3.99,115000,80,22,752,0,0
94174,3.99,360000,74,37,781,0,19820
94175,4.0,460000,75,28,729,0,35620
94176,3.875,401000,67,19,764,0,23420
94177,4.375,84000,60,21,703,0,24260
94178,3.875,150000,46,42,684,0,14460
94179,4.0,409000,56,33,732,0,27140
94180,3.875,580000,80,43,743,0,31080
94181,4.5,186000,80,39,682,0,35620
94182,4.375,168000,80,38,750,0,19100
94184,4.625,134000,80,29,651,0,38340
94185,4.0,137000,46,29,765,0,46060
94186,4.0,315000,76,39,763,0,31080
94187,4.125,90000,79,40,811,1,37980
94188,4.25,205000,55,42,651,0,35620
94189,3.875,256000,63,31,741,0,17140
94191,4.125,106000,70,27,710,1,30780
94192,4.125,205000,67,30,742,0,14460
94193,3.875,284000,80,37,744,0,35620
94194,3.75,162000,58,43,736,0,31080
94195,4.0,189000,42,36,660,0,35380
94196,4.125,397000,75,29,803,0,42660
94197,4.125,414000,76,44,771,0,14460
94198,4.125,70000,54,28,714,0,16300
94199,4.0,77000,87,12,809,0,44060
94200,4.375,219000,75,17,795,0,42660
94201,4.125,157000,67,45,728,0,35300
94202,3.875,149000,48,30,756,0,33340
94203,4.0,290000,68,33,761,0,14460
94204,4.25,54000,80,44,753,0,45060
94205,4.5,149000,25,37,731,0,14860
94206,4.125,339000,80,45,742,0,41620
94207,4.0,213000,71,42,740,0,19740
94208,4.25,287000,48,21,782,0,35620
94209,3.875,350000,70,43,726,0,35620
94210,4.375,113000,68,43,763,0,20260
94211,4.0,235000,74,33,797,0,41180
94212,4.0,138000,80,31,751,0,0
94213,4.5,85000,63,43,725,0,0
94214,3.875,342000,83,44,803,0,33340
94215,4.75,63000,80,41,793,0,0
94216,4.5,451000,62,27,759,0,14460
94217,4.0,270000,51,45,768,0,40900
94218,4.875,150000,74,34,650,1,40060
94219,4.5,168000,69,38,684,0,0
94220,4.5,185000,75,45,667,0,22420
94221,4.0,388000,51,18,682,0,31080
94222,4.125,215000,79,37,756,0,37980
94223,4.25,70000,76,45,737,0,0
94224,3.875,70000,90,26,780,0,0
94225,3.875,298000,71,41,761,0,49340
94226,4.125,172000,58,36,737,0,31080
94227,4.375,212000,41,36,676,0,16740
94228,3.875,167000,95,14,785,0,19740
94229,4.5,142000,73,36,688,0,16980
94230,5.25,341000,75,35,635,0,17460
94231,4.0,215000,79,34,711,0,0
94232,4.875,98000,80,40,685,0,0
94233,3.875,417000,70,14,725,0,35300
94234,3.875,278000,92,30,733,0,31080
94235,4.25,90000,34,43,649,0,28140
94236,3.75,346000,65,40,781,0,31080
94237,3.99,279000,80,26,749,0,14460
94238,4.08,162000,90,31,768,0,38300
94239,4.0,318000,57,17,784,0,31080
94240,4.375,175000,74,21,693,0,43620
94241,3.875,300000,61,38,776,0,14460
94242,4.375,145000,88,31,706,0,10740
94243,4.0,160000,95,33,795,0,30700
94244,3.75,110000,42,18,700,0,31080
94245,3.875,189000,69,31,773,0,16980
94246,4.25,308000,80,16,796,0,16980
94247,3.875,377000,63,41,768,0,31080
94248,4.0,113000,95,29,786,1,13820
94249,4.375,226000,73,22,767,0,31700
94250,4.25,153000,85,34,723,0,13740
94251,3.75,314000,74,35,780,0,31080
94252,4.125,293000,78,19,807,0,42660
94253,4.0,191000,85,40,788,0,19740
94254,4.75,184000,74,38,684,0,40140
94255,4.75,75000,47,39,669,0,16620
94256,4.375,309000,70,24,712,0,12420
94257,4.0,137000,75,15,752,0,41180
94259,4.125,148000,95,31,775,0,0
94260,4.75,106000,63,37,650,0,12940
94261,4.0,150000,60,41,732,0,46220
94262,3.875,128000,67,20,774,0,28940
94263,3.875,95000,68,37,661,0,49620
94264,4.375,108000,80,16,771,0,41180
94265,4.5,348000,80,35,718,0,16980
94266,3.75,417000,45,40,769,0,0
94267,3.75,287000,79,45,741,0,16980
94268,4.0,90000,80,37,757,0,0
94269,4.875,124000,80,15,676,0,34820
94270,4.125,326000,76,35,756,0,41180
94271,4.25,417000,70,37,700,0,35620
94272,4.375,135000,88,37,749,1,41180
94273,4.375,270000,75,37,688,0,14460
94274,3.75,107000,79,11,806,0,40900
94275,4.25,170000,73,32,800,0,0
94276,4.125,168000,75,32,694,0,12020
94277,3.875,109000,81,33,768,0,12260
94278,3.75,333000,61,19,771,0,31080
94279,3.875,161000,46,45,713,0,36260
94280,3.99,288000,39,43,776,0,31080
94281,3.75,82000,22,10,748,0,37980
94282,4.25,244000,75,41,665,0,35620
94283,4.0,103000,55,43,645,0,39580
94284,4.625,360000,85,40,703,0,49340
94285,4.125,320000,66,44,680,0,47380
94286,4.0,86000,29,36,691,0,12580
94288,3.875,414000,38,42,761,0,14460
94289,3.875,243000,71,37,754,0,37980
94290,4.375,215000,80,42,731,0,10580
94291,4.5,187000,75,45,735,0,37980
94292,4.125,80000,46,37,685,0,44060
94293,4.0,625000,74,25,780,0,41860
94294,3.875,560000,80,39,779,0,31080
94295,4.5,208000,87,41,744,0,12580
94296,4.25,122000,90,38,685,1,40420
94297,3.899,417000,51,42,733,0,38900
94298,4.49,284000,80,33,703,0,38900
94299,3.75,278000,75,20,768,0,25540
94300,3.99,168000,86,27,793,0,29620
94302,3.875,138000,80,28,715,0,15380
94303,4.375,76000,79,24,700,0,0
94305,3.875,329000,74,38,740,0,35620
94306,4.625,165000,57,34,620,0,0
94307,4.5,417000,74,44,700,0,12580
94308,3.875,417000,59,38,800,0,40060
94309,4.25,125000,74,28,708,0,38300
94310,4.31,414000,70,32,741,0,42660
94311,4.5,143000,80,37,773,0,0
94312,3.99,370000,70,38,725,0,41940
94313,4.125,170000,63,32,798,0,33460
94314,4.375,296000,80,35,700,0,33860
94315,4.125,155000,85,32,771,0,0
94316,3.875,230000,80,21,774,0,33340
94317,4.0,326000,71,30,717,0,35620
94318,4.5,82000,23,42,767,0,14860
94319,4.0,316000,50,44,686,0,31100
94320,4.375,83000,54,39,766,0,0
94321,4.0,413000,72,18,756,0,26420
94322,4.0,150000,46,43,689,0,13820
94323,4.125,157000,94,21,750,0,13820
94324,4.25,150000,60,20,776,0,28940
94325,4.375,145000,58,19,732,0,0
94326,3.875,253000,75,46,797,0,31540
94327,3.99,380000,54,14,774,0,31080
94328,4.5,188000,80,45,692,0,44180
94329,4.0,235000,73,36,734,0,31080
94330,4.25,212000,80,44,766,0,16980
94331,4.5,115000,75,31,622,0,40140
94332,4.125,178000,68,40,705,0,38900
94333,3.875,305000,40,40,744,0,47900
94334,4.0,123000,59,40,792,0,0
94335,3.875,150000,79,41,709,0,0
94336,4.25,300000,38,34,670,0,16740
94337,4.125,125000,28,26,793,0,41740
94338,3.95,356000,55,29,780,0,41740
94339,3.625,130000,74,31,802,0,30300
94340,5.125,137000,70,34,632,0,12420
94341,4.5,262000,31,44,697,0,35620
94342,4.0,74000,80,42,714,1,0
94343,3.99,160000,80,41,773,0,40140
94345,4.5,109000,80,31,734,0,19100
94346,4.125,310000,85,24,762,0,14460
94347,3.75,394000,72,40,784,0,44300
94348,4.5,144000,77,35,732,0,33100
94349,4.125,197000,80,40,715,1,16740
94350,4.25,203000,75,29,795,0,19740
94351,4.0,374000,70,42,676,0,35620
94352,4.375,158000,70,19,734,0,35100
94353,3.745,233000,64,43,731,0,35620
94354,3.875,410000,64,20,744,0,31080
94355,4.125,228000,93,34,742,0,26620
94356,4.0,170000,50,44,796,0,35620
94357,3.875,445000,55,19,819,0,42660
94359,4.25,111000,48,45,647,0,19100
94360,4.0,311000,60,34,689,0,14460
94361,4.0,138000,80,35,741,0,13820
94362,3.75,218000,48,12,786,0,41740
94363,4.375,309000,62,42,705,0,17460
94364,4.25,172000,75,41,712,0,19740
94365,4.375,49000,54,6,675,0,17300
94366,3.99,265000,80,33,767,0,20220
94367,4.375,626000,79,43,783,0,41860
94368,4.25,515000,43,41,790,0,35620
94369,4.5,323000,75,40,689,0,12580
94370,4.125,164000,72,34,723,1,44140
94371,4.375,396000,69,18,749,0,31080
94372,3.875,266000,38,33,796,0,0
94373,4.0,154000,70,16,685,0,19740
94374,3.875,275000,57,35,706,0,41740
94375,4.375,221000,20,28,799,0,41940
94376,4.375,157000,62,42,671,0,26420
94377,4.25,76000,77,35,737,0,38300
94378,4.125,170000,78,45,791,1,16980
94379,4.0,183000,59,30,727,0,41860
94380,3.875,65000,69,34,784,1,0
94381,3.875,138000,70,36,789,0,40140
94382,4.125,150000,80,33,779,0,29180
94383,3.875,194000,95,22,729,0,31540
94384,4.375,90000,40,37,785,0,0
94385,3.99,85000,58,32,803,0,24860
94386,3.875,417000,22,14,726,0,14860
94387,3.875,260000,79,43,737,0,14460
94388,4.0,212000,71,41,712,0,38900
94389,3.875,50000,24,32,798,0,37980
94390,4.5,108000,62,21,764,0,0
94391,3.99,410000,69,36,722,0,41860
94392,3.875,328000,79,24,756,0,48140
94393,4.125,376000,80,24,734,0,49340
94394,4.125,102000,80,18,771,0,28740
94396,4.25,85000,45,44,661,0,33340
94397,3.875,394000,69,36,724,0,31080
94398,4.875,63000,80,33,662,1,0
94399,3.75,274000,80,32,773,0,26380
94400,3.75,300000,51,36,710,1,0
94401,4.0,72000,74,25,721,0,0
94403,4.28,368000,44,33,715,0,42200
94404,4.0,220000,58,24,811,0,41860
94405,4.375,200000,73,29,643,0,25540
94406,4.875,80000,63,34,705,0,21340
94407,4.125,500000,49,41,780,0,31100
94408,4.25,363000,78,44,705,0,37980
94409,4.25,131000,73,24,685,0,0
94410,4.375,375000,75,44,689,0,38900
94411,3.875,224000,80,16,799,0,19740
94412,4.125,475000,35,38,701,0,41860
94413,4.0,400000,80,43,736,0,41180
94414,3.75,124000,45,43,772,0,0
94415,4.375,309000,95,39,773,0,33340
94416,4.5,150000,50,43,666,0,0
94417,3.875,73000,89,36,774,1,17980
94418,4.125,387000,77,44,767,0,31080
94419,4.125,295000,69,36,732,0,38900
94420,4.0,128000,78,28,767,0,40060
94421,4.125,135000,61,26,667,0,0
94423,4.5,306000,85,37,808,0,14460
94424,3.75,110000,33,29,810,0,40380
94425,4.625,122000,74,26,629,0,26380
94426,4.875,116000,80,21,709,0,21060
94428,4.0,238000,97,43,795,0,16980
94429,3.875,128000,33,20,774,0,42540
94430,4.125,139000,87,36,773,0,39580
94431,3.99,170000,42,26,794,0,37980
94432,4.125,391000,80,20,788,0,33460
94433,3.875,135000,49,22,777,0,38900
94434,4.0,190000,64,21,728,0,41180
94435,4.25,322000,95,42,686,0,14460
94436,4.75,130000,73,45,623,0,40340
94437,3.875,190000,25,27,716,0,0
94438,4.0,92000,80,43,753,0,0
94439,3.75,296000,49,41,681,0,41940
94440,4.375,188000,71,25,698,0,31140
94441,4.375,386000,78,32,699,0,41740
94442,3.875,177000,93,29,740,0,26980
94443,4.375,265000,64,45,714,0,26420
94444,4.5,132000,80,38,720,0,47900
94445,4.0,243000,69,38,793,0,0
94446,4.375,308000,46,39,782,0,37100
94447,3.875,100000,44,22,693,0,37980
94448,4.0,313000,80,43,781,0,23420
94449,3.875,345000,72,25,740,0,14460
94450,4.25,339000,85,33,735,0,16980
94451,4.125,160000,10,46,755,0,41940
94452,3.9,152000,70,40,654,0,44100
94453,4.25,280000,70,30,769,0,42660
94454,4.125,352000,95,34,702,0,41940
94455,4.0,275000,70,43,744,0,48300
94456,4.0,177000,67,38,788,0,34820
94457,3.99,268000,74,42,747,0,35620
94458,4.25,174000,60,40,742,0,0
94459,4.625,455000,73,19,682,0,35620
94460,4.25,68000,80,41,731,1,0
94461,4.875,120000,75,45,716,1,37980
94462,4.25,110000,71,24,689,0,16300
94463,4.5,113000,54,19,719,0,10740
94464,3.875,270000,68,44,727,0,33540
94465,4.25,200000,48,43,662,0,15980
94466,3.93,90000,43,45,755,0,39300
94467,4.0,132000,82,45,731,0,0
94468,3.875,263000,72,41,759,0,33540
94469,4.375,85000,44,44,687,0,36220
94470,3.875,133000,50,32,740,0,44060
94471,4.375,102000,66,50,743,0,28140
94472,3.875,147000,58,25,787,0,41180
94473,4.25,114000,76,14,702,0,12420
94474,3.875,314000,95,34,704,0,31540
94475,4.125,99000,90,38,772,0,42660
94476,4.0,403000,56,44,804,0,31080
94477,5.25,212000,79,38,693,0,0
94478,3.875,160000,35,38,798,0,38900
94479,4.375,626000,68,31,702,0,41860
94480,4.0,187000,44,14,653,0,24300
94481,3.25,83000,59,14,747,0,41980
94482,3.875,156000,42,28,796,0,14460
94483,4.25,210000,94,33,673,0,11260
94484,4.5,303000,80,40,691,0,33540
94485,3.875,66000,39,8,804,0,19780
94486,4.0,320000,80,43,812,0,47900
94487,4.5,256000,80,44,726,0,35620
94488,3.625,276000,79,27,754,0,31080
94489,4.5,114000,56,41,677,0,47220
94490,4.375,118000,66,36,725,1,37980
94491,3.875,175000,70,44,775,0,40060
94492,4.25,216000,80,44,698,0,47900
94493,3.75,110000,60,37,735,0,16740
94494,3.875,200000,50,38,712,0,14460
94495,4.75,240000,80,39,697,0,41180
94496,4.0,150000,41,24,768,0,35620
94497,3.99,165000,53,26,705,0,25540
94498,3.875,279000,73,25,796,0,14460
94499,4.5,145000,75,43,688,1,11700
94500,3.875,339000,58,49,812,0,31080
94501,3.875,320000,79,32,757,0,31080
94502,4.0,251000,80,31,753,0,37900
94503,3.875,323000,72,32,799,0,32820
94504,4.0,313000,38,20,654,0,42100
94505,4.5,96000,80,37,693,1,0
94506,4.115,113000,40,20,809,0,41860
94507,4.125,300000,47,40,690,0,37980
94508,3.5,370000,60,47,772,0,31080
94509,4.125,350000,53,20,692,0,35620
94510,4.5,80000,56,37,689,0,0
94511,4.25,136000,45,35,759,0,14460
94512,4.75,280000,80,42,660,0,24660
94513,4.25,120000,33,45,627,0,41860
94514,3.875,161000,21,21,806,0,31100
94515,4.75,264000,80,33,642,0,0
94517,3.875,478000,72,32,778,0,47900
94518,4.25,417000,66,27,674,0,43340
94519,4.75,348000,80,40,673,0,35620
94520,3.875,192000,76,18,799,0,42100
94521,4.0,91000,95,25,742,0,25620
94522,4.0,220000,66,43,713,0,35300
94523,3.875,395000,79,41,751,0,35620
94524,4.125,417000,66,26,802,0,41860
94525,3.875,417000,61,14,789,0,41860
94526,4.125,276000,95,40,783,1,0
94527,4.49,600000,58,43,670,0,31100
94528,4.5,83000,75,27,667,0,48060
94529,4.375,460000,80,26,761,0,14460
94530,5.5,113000,67,11,641,0,19820
94531,4.125,118000,50,44,721,0,36420
94532,4.0,315000,60,43,768,0,35620
94533,4.75,271000,92,42,745,0,41620
94534,4.375,150000,11,44,730,0,41860
94535,3.875,307000,47,43,632,0,30460
94536,4.375,155000,50,39,662,0,31080
94537,4.625,220000,80,42,679,0,42220
94538,4.25,70000,80,38,786,1,21780
94539,5.125,78000,80,37,698,0,31140
94540,4.875,81000,70,42,624,0,17460
94541,4.25,136000,80,18,720,0,22220
94542,4.0,163000,45,24,779,0,37100
94543,3.75,275000,57,34,788,0,22180
94544,3.875,256000,79,35,715,0,38900
94545,4.0,61000,59,19,671,0,0
94546,3.875,145000,60,37,769,0,33340
94547,4.375,102000,70,42,680,0,38860
94548,4.0,162000,95,37,737,0,0
94549,3.875,387000,50,41,778,0,20260
94550,4.25,360000,80,41,750,0,19820
94551,3.875,506000,60,26,778,0,42660
94552,4.25,368000,80,34,734,0,31080
94553,4.5,337000,80,28,714,0,34940
94554,4.5,397000,95,40,727,0,17140
94556,4.375,130000,79,42,751,0,17140
94557,4.375,214000,80,44,712,0,35620
94558,4.0,272000,85,29,787,0,35620
94559,4.0,88000,80,32,795,0,0
94560,4.5,179000,80,35,709,0,33460
94561,4.375,178000,73,35,745,0,42540
94562,3.75,349000,75,31,757,0,11540
94563,3.875,84000,66,21,759,0,16300
94564,4.0,238000,55,23,757,0,31080
94565,4.0,235000,73,24,810,0,44700
94566,3.875,319000,77,18,736,0,41740
94567,4.5,415000,95,21,740,0,47900
94568,3.875,417000,66,45,801,0,35620
94569,3.75,323000,75,19,774,0,12420
94570,4.0,176000,80,31,789,0,0
94571,4.375,106000,57,38,638,0,32580
94572,3.75,133000,95,38,755,0,0
94573,3.75,203000,73,19,742,0,16980
94574,4.99,196000,72,39,658,0,19100
94575,3.8,273000,70,45,729,0,29100
94576,3.75,275000,68,18,744,0,42660
94577,3.875,247000,31,14,767,0,47900
94578,4.625,76000,80,34,686,0,16020
94579,4.375,294000,76,38,677,0,17460
94580,3.875,255000,53,29,778,0,34820
94581,4.5,115000,71,33,702,0,30300
94582,4.375,107000,74,27,762,0,13220
94583,3.875,414000,76,36,797,0,0
94584,4.5,255000,95,26,688,0,39300
94585,4.625,186000,70,14,801,0,14460
94587,4.25,417000,48,45,658,0,0
94588,5.0,170000,80,34,651,0,42540
94589,3.875,85000,80,22,761,0,45460
94590,3.75,75000,22,36,807,0,14460
94591,4.125,255000,45,44,733,0,31080
94592,3.75,269000,54,44,717,0,41860
94593,4.25,353000,68,43,702,0,33340
94594,4.375,287000,76,35,742,0,31080
94595,3.875,326000,51,45,689,0,47260
94596,4.375,150000,51,36,656,0,41620
94597,3.99,137000,70,44,642,0,16220
94598,4.5,184000,85,36,724,0,25540
94599,3.875,403000,68,42,768,0,12420
94600,3.75,298000,67,39,791,0,41740
94601,3.75,111000,82,41,746,0,29340
94602,4.25,180000,75,46,728,0,40900
94603,3.875,304000,79,38,773,0,37100
94604,3.75,176000,72,42,797,0,31080
94605,4.625,140000,75,36,750,0,43340
94606,4.375,274000,79,33,658,0,38900
94607,4.0,400000,84,41,736,0,14460
94608,4.0,200000,42,45,736,0,42660
94609,4.0,396000,36,48,788,0,31080
94610,4.375,399000,62,36,666,0,35620
94611,4.25,140000,62,42,646,0,0
94612,3.875,342000,80,30,745,0,16940
94613,4.0,80000,72,36,739,0,0
94614,4.375,565000,73,50,773,0,41860
94615,3.875,288000,65,44,790,0,41860
94616,4.125,168000,68,43,736,0,25420
94617,3.85,417000,34,42,737,0,41860
94618,4.375,56000,73,42,692,0,49660
94619,3.875,61000,54,13,823,0,48140
94620,3.875,194000,49,42,798,0,42660
94622,4.625,400000,69,41,694,0,39140
94623,4.625,209000,67,41,628,0,41700
94624,4.0,413000,70,31,718,0,31080
94625,3.75,228000,68,7,774,0,31540
94626,4.125,85000,68,24,828,0,36420
94627,4.0,351000,53,35,750,0,37100
94628,4.5,461000,71,35,711,0,47900
94629,3.875,417000,47,23,786,0,16980
94630,4.125,299000,60,44,786,0,41940
94631,4.0,120000,80,39,725,1,45500
94632,3.99,234000,60,34,695,0,31080
94633,4.375,66000,19,19,758,0,13460
94634,4.25,173000,74,44,787,1,49620
94635,4.0,151000,50,33,808,0,0
94636,4.125,251000,73,30,712,0,40060
94637,3.875,146000,80,39,727,0,11260
94638,5.0,92000,80,20,650,0,0
94639,3.75,255000,44,40,691,0,46700
94640,3.875,398000,47,28,775,0,41940
94641,4.25,228000,65,36,695,0,35380
94642,3.99,304000,80,25,786,0,19820
94643,3.875,170000,52,25,801,0,0
94644,4.5,90000,75,34,661,0,41700
94645,4.25,200000,52,38,624,0,47900
94646,3.875,170000,41,42,644,0,14460
94647,3.75,621000,46,20,796,0,46520
94648,3.875,285000,75,34,809,0,19740
94649,4.625,417000,78,26,727,0,19740
94650,3.99,95000,64,19,746,0,39300
94651,4.25,166000,85,45,733,0,19100
94652,4.25,276000,80,41,775,0,31080
94653,3.875,406000,73,24,811,0,31080
94654,4.0,201000,65,20,754,0,40060
94655,4.375,220000,80,38,767,0,0
94656,3.875,116000,89,27,755,0,24340
94657,4.25,399000,79,36,813,0,41940
94658,3.75,250000,48,36,731,0,37980
94659,4.0,40000,40,35,725,0,41980
94660,5.375,52000,80,28,691,0,12060
94661,4.125,415000,59,17,780,0,47900
94662,4.5,103000,77,34,702,0,37980
94663,4.0,180000,68,43,753,0,44140
94664,3.875,536000,71,21,758,0,37100
94665,4.375,195000,80,35,715,0,12220
94666,4.5,111000,65,13,719,0,37980
94667,4.0,210000,78,26,770,0,31100
94668,4.5,400000,72,36,721,0,31080
94669,4.375,96000,80,28,709,0,45300
94670,4.375,207000,80,43,765,1,20100
94671,4.25,103000,17,16,764,0,31080
94672,4.5,119000,95,43,723,0,33780
94673,4.125,158000,80,41,753,0,24580
94674,4.0,88000,69,20,787,0,38300
94675,4.375,310000,80,35,727,0,37980
94676,4.0,172000,44,41,771,0,31080
94677,4.375,225000,90,45,755,0,38900
94678,3.875,374000,51,39,801,0,16980
94679,4.125,403000,70,38,655,0,35620
94680,4.25,55000,54,22,772,0,17460
94681,5.14,160000,80,43,668,0,19820
94682,3.5,487000,56,39,788,0,46520
94683,4.375,263000,75,39,703,0,10900
94684,4.25,222000,76,33,700,0,0
94685,4.375,249000,95,45,713,0,35620
94686,4.375,77000,30,31,697,0,35380
94687,3.75,255000,92,40,753,0,0
94688,4.125,315000,63,45,733,0,31080
94689,3.875,144000,48,39,804,0,10740
94690,4.625,135000,52,25,786,0,40140
94691,3.875,238000,89,45,748,0,12940
94692,3.875,367000,51,31,736,0,47260
94693,4.625,156000,80,45,729,0,40140
94694,3.875,212000,80,43,742,0,19820
94695,3.875,417000,70,44,690,0,47900
94696,4.125,404000,75,26,733,0,17900
94697,4.0,150000,80,35,763,0,33340
94698,4.125,132000,69,33,733,0,37980
94699,4.75,65000,73,22,658,0,28660
94700,4.0,149000,79,45,731,0,17820
94701,4.125,150000,80,36,767,0,24580
94702,3.875,254000,79,23,800,0,42020
94703,3.875,150000,70,13,806,0,37980
94704,4.0,100000,11,26,795,0,0
94705,4.875,84000,80,19,622,0,36540
94706,3.99,315000,60,45,656,0,0
94707,4.75,98000,79,43,689,0,41180
94708,4.25,116000,62,33,786,0,16980
94709,3.75,72000,53,45,776,0,27500
94710,3.875,417000,60,15,754,0,12060
94711,4.25,403000,70,34,645,0,35380
94712,4.25,338000,90,9,743,0,17900
94713,3.875,268000,80,28,803,0,19340
94714,4.375,282000,50,18,724,0,31080
94715,3.875,415000,58,35,673,0,15540
94716,4.375,125000,52,30,627,0,0
94717,3.875,322000,85,29,762,0,41740
94718,3.875,412000,68,20,785,0,41740
94719,3.75,67000,29,22,778,0,49340
94720,4.625,279000,70,42,666,0,26820
94721,3.75,350000,74,28,745,0,0
94722,4.375,108000,69,18,638,0,46140
94723,3.875,417000,38,39,763,0,42660
94725,4.0,409000,50,18,785,0,41860
94726,3.99,190000,68,37,713,0,33540
94727,4.0,112000,83,19,777,0,38300
94728,4.15,125000,95,24,675,0,29100
94729,4.375,320000,80,30,747,0,47900
94730,3.875,247000,76,25,799,0,35300
94731,4.0,86000,64,39,702,0,0
94732,3.875,116000,75,46,785,0,17140
94733,3.875,176000,80,35,786,0,31540
94734,4.25,95000,46,31,754,0,42540
94735,4.375,125000,79,43,701,0,48300
94736,4.125,250000,47,33,668,0,37100
94737,4.25,204000,80,33,776,0,28740
94738,4.375,184000,74,42,664,0,49340
94739,4.0,180000,43,33,725,0,38900
94740,3.875,400000,56,34,738,0,31100
94741,3.875,341000,65,32,808,0,12580
94742,4.5,68000,90,31,778,0,33140
94743,3.875,111000,74,39,745,0,27620
94744,4.0,215000,86,27,765,0,44180
94745,4.25,304000,80,32,777,0,16980
94746,4.75,58000,74,34,666,0,22020
94747,4.125,151000,68,21,783,0,0
94748,4.125,223000,76,45,754,0,31540
94749,4.375,323000,58,31,775,0,14460
94750,3.75,235000,80,39,789,0,0
94751,4.125,197000,68,23,756,0,33340
94753,3.875,275000,51,29,790,0,41860
94754,3.875,300000,77,26,758,0,14460
94755,4.375,63000,75,24,697,0,26900
94756,4.5,137000,67,32,635,1,0
94757,4.375,124000,49,21,782,0,26420
94758,4.25,133000,75,44,721,0,28140
94759,4.0,178000,84,25,710,0,26620
94760,3.95,233000,79,40,766,0,0
94761,4.25,80000,63,23,795,0,24220
94762,4.375,417000,80,34,696,0,41180
94763,4.25,166000,95,44,743,0,36540
94764,4.0,124000,76,41,813,0,0
94765,3.99,417000,79,37,723,0,14460
94766,3.875,113000,57,34,740,0,0
94767,4.375,182000,80,27,675,0,0
94768,4.5,177000,74,35,694,0,0
94769,3.875,221000,95,35,732,0,42660
94770,3.875,92000,78,23,733,0,38540
94771,3.95,99000,70,17,806,0,45780
94772,4.75,204000,80,35,658,0,43340
94773,3.75,417000,64,30,776,0,42660
94774,4.0,170000,65,31,771,0,12060
94775,4.0,140000,42,30,734,0,27260
94776,4.25,375000,70,39,713,0,35980
94777,4.875,100000,77,37,695,0,40140
