,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA
92307,4.125,232000,80,34,694,0,17140
92308,4.0,246000,80,41,724,0,41620
92309,4.0,408000,71,31,760,0,41740
92310,4.25,168000,87,41,721,0,31020
92311,4.375,166000,87,37,734,1,0
92312,4.25,221000,79,38,815,0,30460
92313,3.875,375000,67,38,754,0,31080
92314,5.0,104000,80,29,651,0,0
92315,4.5,252000,80,30,734,0,10740
92316,3.875,417000,66,16,767,0,16980
92317,3.875,379000,93,33,786,0,38900
92318,4.125,74000,65,30,653,0,38340
92319,3.875,147000,74,30,796,0,19820
92320,4.0,369000,90,31,705,0,12940
92321,4.5,139000,80,35,707,1,19100
92322,4.75,100000,80,41,627,0,28140
92323,3.875,231000,77,37,776,0,37980
92324,4.75,175000,67,39,651,0,35620
92325,4.375,417000,80,25,732,0,42660
92326,4.0,301000,85,42,747,0,37100
92327,4.125,417000,50,43,761,0,33460
92329,4.375,155000,75,45,687,0,0
92330,4.375,100000,70,43,647,0,10380
92331,4.125,504000,80,43,757,0,31080
92332,4.0,319000,78,21,779,0,33340
92333,4.375,81000,68,44,692,0,30020
92334,4.375,199000,72,29,689,0,39300
92335,3.875,393000,41,32,798,0,35620
92336,3.98,395000,80,32,807,0,31080
92337,4.25,180000,77,41,732,0,41620
92338,4.375,65000,60,19,624,0,35840
92339,4.25,69000,55,38,672,0,20740
92340,4.0,417000,19,33,786,0,14460
92341,3.875,115000,82,38,704,1,48620
92342,4.125,360000,62,17,799,0,31080
92343,4.41,184000,93,37,795,0,11460
92344,4.25,109000,86,17,800,0,48620
92345,4.25,417000,68,38,796,0,26420
92346,4.375,102000,89,33,754,0,19380
92347,3.625,277000,62,7,712,0,32420
92348,4.5,72000,80,28,730,1,16980
92349,4.125,335000,78,45,766,0,47900
92350,4.25,265000,93,33,775,0,36260
92351,3.875,314000,49,46,788,0,31080
92352,4.25,190000,62,28,744,0,28140
92353,4.0,349000,95,44,780,0,33100
92354,4.75,113000,78,41,781,1,38300
92355,3.875,298000,78,15,815,0,0
92356,4.5,75000,60,37,629,0,33340
92357,4.0,114000,80,39,759,0,22540
92358,4.375,115000,89,43,766,0,28020
92359,4.25,109000,55,17,810,0,37980
92360,4.0,221000,67,29,780,0,25540
92361,3.875,290000,71,44,774,0,41740
92362,4.0,416000,80,28,790,0,42020
92363,4.125,366000,59,25,749,0,31080
92364,4.0,115000,95,40,755,0,28140
92365,4.875,620000,80,17,748,0,41860
92366,3.75,307000,74,26,772,0,38900
92367,4.125,198000,66,24,789,0,19820
92368,4.0,302000,38,31,798,0,31100
92369,4.0,417000,62,28,800,0,31080
92370,5.0,96000,75,34,757,0,20940
92371,4.5,287000,72,35,641,0,31080
92372,4.125,440000,80,33,746,0,41740
92373,4.0,79000,45,38,808,0,0
92375,4.625,151000,74,36,668,0,11020
92376,4.25,311000,75,37,753,0,47900
92377,3.875,339000,57,42,808,0,41940
92378,3.875,282000,47,40,785,0,0
92379,4.375,184000,67,42,761,0,0
92380,4.25,170000,66,20,780,0,12940
92381,4.25,98000,21,34,651,0,41740
92382,3.875,222000,74,22,796,0,29100
92383,4.0,196000,49,28,764,0,14460
92385,4.375,279000,75,39,755,0,41860
92386,4.625,128000,74,28,762,0,19740
92387,3.99,118000,48,35,805,0,40900
92388,3.875,196000,79,30,715,0,37980
92389,4.375,115000,89,41,781,1,40980
92390,4.875,109000,85,38,691,0,39580
92391,4.375,360000,80,34,791,0,45940
92392,4.25,296000,80,38,692,0,42660
92393,4.25,338000,57,27,712,0,19740
92394,4.375,486000,54,28,764,0,41740
92395,4.25,115000,90,32,713,0,24860
92396,4.0,272000,49,23,718,0,41860
92397,4.33,143000,95,22,752,0,12420
92398,4.25,417000,78,7,808,0,42660
92399,4.125,182000,34,43,633,0,46520
92400,4.25,400000,80,19,770,0,16980
92401,4.0,76000,42,32,770,0,34980
92402,4.5,255000,57,49,665,0,37980
92403,4.375,191000,85,32,740,0,26900
92404,4.375,417000,75,41,712,0,16980
92405,4.5,384000,80,38,785,0,39580
92406,4.25,200000,80,44,755,0,30780
92407,4.625,118000,86,27,710,0,43100
92408,4.875,200000,71,30,646,0,0
92409,4.75,417000,72,43,637,0,0
92410,4.0,150000,79,39,778,0,36540
92411,5.125,192000,80,43,682,0,48260
92412,4.25,380000,71,38,782,0,37980
92413,4.5,127000,61,44,710,0,0
92414,4.75,479000,74,42,701,0,35620
92415,5.25,97000,80,39,712,0,26580
92416,4.25,120000,78,18,766,0,26900
92417,4.0,145000,37,18,784,0,40140
92418,4.125,152000,89,25,726,0,22220
92419,4.625,310000,78,42,686,0,40140
92420,4.75,275000,73,28,677,0,0
92421,4.626,417000,65,39,670,0,40900
92422,3.875,150000,79,42,753,0,0
92424,4.0,172000,79,29,770,0,44100
92425,3.875,417000,72,16,789,0,16980
92426,3.875,92000,55,25,758,0,19340
92427,3.875,233000,39,42,730,0,0
92428,4.25,285000,79,44,817,0,38900
92429,4.0,172000,92,41,726,0,0
92430,3.875,303000,86,27,788,0,39340
92431,3.875,95000,85,28,776,0,15940
92432,4.25,535000,85,19,784,0,41940
92433,4.5,193000,79,25,657,0,12420
92434,4.25,164000,73,27,694,0,41180
92435,4.875,157000,77,26,646,0,0
92436,4.0,115000,80,22,785,0,36420
92437,4.125,242000,76,23,753,0,38060
92438,3.75,285000,69,37,770,0,35620
92439,4.75,73000,77,32,779,0,18140
92440,4.0,240000,77,37,755,0,31080
92441,3.99,210000,61,43,713,0,42220
92442,3.75,189000,45,39,812,0,14500
92443,3.5,138000,66,43,732,0,31700
92444,3.875,183000,79,30,811,0,19100
92445,3.99,400000,40,34,777,0,19740
92446,4.875,89000,71,43,667,0,15940
92447,6.75,116000,80,35,626,1,10780
92448,3.875,188000,80,23,736,0,43780
92449,4.25,157000,86,44,745,0,45060
92450,4.0,417000,52,32,743,0,35620
92451,4.5,89000,73,22,647,0,0
92452,4.0,177000,21,25,744,0,31080
92454,3.875,380000,75,24,765,0,13820
92455,4.0,80000,55,27,760,1,41980
92456,4.0,324000,94,18,736,0,33340
92457,4.25,97000,69,24,712,0,0
92459,4.375,92000,75,32,804,0,24580
92460,3.99,286000,52,44,721,0,33100
92461,4.125,71000,80,31,752,1,0
92462,4.25,210000,80,26,750,0,14460
92463,3.99,287000,24,42,710,0,14460
92464,3.875,270000,57,28,708,0,14460
92465,4.375,201000,80,43,746,0,10500
92466,4.25,195000,66,37,645,0,0
92467,4.75,282000,69,43,703,0,15380
92468,3.99,160000,80,44,764,0,47460
92469,4.125,338000,70,30,696,0,12060
92470,3.875,236000,36,50,679,0,35620
92471,4.0,90000,75,33,716,0,49180
92472,5.25,216000,80,28,675,0,45940
92473,3.875,300000,57,16,747,0,14460
92474,4.375,125000,80,20,789,0,36780
92477,4.25,342000,80,37,728,0,39660
92478,4.375,126000,73,43,763,0,38660
92479,4.375,123000,94,42,754,1,0
92480,4.375,107000,80,31,728,0,0
92481,3.875,285000,95,31,729,0,47900
92482,4.25,75000,52,37,675,0,40220
92484,4.375,140000,80,43,807,0,18140
92485,4.25,122000,80,38,727,1,26900
92486,4.0,160000,75,33,772,0,0
92487,4.875,100000,71,23,624,0,24580
92488,4.25,102000,51,14,819,0,16740
