,sellerName,origChannel,origIntRate,origUPB,origDate,firstPmtDate,origLTV,origCLTV,numBorrowers,origDebtIncRatio,borrCreditScore,BestCreditScore,WorstCreditScore,AvgCreditScore,loanPurp,propState,zipCode,pMIperct,mortInsType,fmacRate,fredRate,rateDiff,rateDiffPct,rank
0,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",1,4.625,160000,2/1/2019,4/1/2019,80,80,2,34,758,758,752,755,C,IN,462,0,0,4.46,2.7,0.165,0.036995516,3
1,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",1,4.5,510000,2/1/2019,4/1/2019,64,64,2,40,772,772,767,769.5,C,CA,913,0,0,4.46,2.7,0.04,0.00896861,2
2,QUICKEN LOANS INC.,0,4.75,143000,2/1/2019,4/1/2019,68,68,1,16,674,674,674,674,C,NC,286,0,0,4.46,2.7,0.29,0.065022422,3
3,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",1,4.5,160000,2/1/2019,4/1/2019,17,17,1,43,738,738,738,738,C,CA,920,0,0,4.46,2.7,0.04,0.00896861,2
4,PENNYMAC CORP.,2,4.5,320000,2/1/2019,4/1/2019,74,74,2,26,697,761,697,729,R,LA,707,0,0,4.46,2.7,0.04,0.00896861,2
5,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,0,5.875,348000,2/1/2019,4/1/2019,80,80,1,29,681,681,681,681,C,AZ,852,0,0,4.46,2.7,1.415,0.317264574,6
6,OTHER,0,4.75,187000,2/1/2019,4/1/2019,53,53,2,31,740,740,730,735,C,CA,953,0,0,4.46,2.7,0.29,0.065022422,3
7,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2,4.625,188000,2/1/2019,4/1/2019,80,80,2,48,717,717,705,711,C,NC,288,0,0,4.46,2.7,0.165,0.036995516,3
8,OTHER,2,4.375,285000,2/1/2019,4/1/2019,64,64,1,45,692,692,692,692,C,CA,945,0,0,4.46,2.7,-0.085,-0.019058296,2
9,OTHER,0,4.5,425000,2/1/2019,4/1/2019,85,85,1,37,776,776,776,776,R,NC,276,12,1,4.46,2.7,0.04,0.00896861,2
10,QUICKEN LOANS INC.,0,4.5,175000,2/1/2019,4/1/2019,60,60,1,43,732,732,732,732,C,GA,300,0,0,4.46,2.7,0.04,0.00896861,2
11,"WELLS FARGO BANK, N.A.",2,5,169000,2/1/2019,4/1/2019,48,48,1,31,672,672,672,672,R,CT,67,0,0,4.46,2.7,0.54,0.121076233,4
12,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",1,4.375,389000,2/1/2019,4/1/2019,71,71,2,39,788,788,766,777,R,CA,956,0,0,4.46,2.7,-0.085,-0.019058296,2
13,"WELLS FARGO BANK, N.A.",2,4.875,172000,2/1/2019,4/1/2019,77,77,1,32,711,711,711,711,R,MN,558,0,0,4.46,2.7,0.415,0.093049327,3
14,PENNYMAC CORP.,0,4.75,144000,2/1/2019,4/1/2019,80,80,2,31,731,756,731,743.5,R,GA,300,0,0,4.46,2.7,0.29,0.065022422,3
15,QUICKEN LOANS INC.,0,5.375,85000,2/1/2019,4/1/2019,60,63,1,37,715,715,715,715,C,MI,484,0,0,4.46,2.7,0.915,0.205156951,5
16,OTHER,0,5.5,399000,2/1/2019,4/1/2019,70,70,2,36,634,641,634,637.5,C,CA,917,0,0,4.46,2.7,1.04,0.233183857,5
17,QUICKEN LOANS INC.,0,4.875,209000,2/1/2019,4/1/2019,67,67,2,39,749,779,749,764,R,TX,782,0,0,4.46,2.7,0.415,0.093049327,3
18,QUICKEN LOANS INC.,0,4.99,145000,2/1/2019,4/1/2019,62,62,2,35,812,812,812,812,C,TN,373,0,0,4.46,2.7,0.53,0.118834081,4
19,QUICKEN LOANS INC.,0,4.99,197000,2/1/2019,4/1/2019,73,73,1,47,634,634,634,634,R,TN,370,0,0,4.46,2.7,0.53,0.118834081,4
20,PENNYMAC CORP.,2,5.375,255000,2/1/2019,4/1/2019,79,79,2,40,714,816,714,765,C,MN,565,0,0,4.46,2.7,0.915,0.205156951,5
21,PENNYMAC CORP.,2,5.375,204000,2/1/2019,4/1/2019,80,80,2,27,693,708,693,700.5,C,MD,212,0,0,4.46,2.7,0.915,0.205156951,5
22,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",1,4.375,373000,2/1/2019,4/1/2019,74,74,2,26,789,789,783,786,R,IL,606,0,0,4.46,2.7,-0.085,-0.019058296,2
23,OTHER,0,4.99,175000,2/1/2019,4/1/2019,77,77,1,46,693,693,693,693,C,KY,410,0,0,4.46,2.7,0.53,0.118834081,4
24,PENNYMAC CORP.,0,4.625,152000,2/1/2019,4/1/2019,78,78,1,28,777,777,777,777,R,VA,232,0,0,4.46,2.7,0.165,0.036995516,3
25,QUICKEN LOANS INC.,0,4.875,95000,2/1/2019,4/1/2019,48,48,1,25,798,798,798,798,C,MD,212,0,0,4.46,2.7,0.415,0.093049327,3
26,PENNYMAC CORP.,0,4.5,280000,2/1/2019,4/1/2019,65,65,2,16,702,702,702,702,R,WI,530,0,0,4.46,2.7,0.04,0.00896861,2
27,QUICKEN LOANS INC.,0,4.99,152000,2/1/2019,4/1/2019,65,65,1,42,763,763,763,763,C,MD,212,0,0,4.46,2.7,0.53,0.118834081,4
28,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",2,4.75,208000,2/1/2019,4/1/2019,70,70,2,46,698,698,689,693.5,R,PA,175,0,0,4.46,2.7,0.29,0.065022422,3
29,"LAKEVIEW LOAN SERVICING, LLC",2,4.75,250000,2/1/2019,4/1/2019,72,72,1,23,741,741,741,741,C,OR,975,0,0,4.46,2.7,0.29,0.065022422,3
30,OTHER,0,4.75,126000,2/1/2019,4/1/2019,40,40,1,50,727,727,727,727,C,TX,760,0,0,4.46,2.7,0.29,0.065022422,3
31,QUICKEN LOANS INC.,0,4.875,310000,2/1/2019,3/1/2019,66,66,1,22,707,707,707,707,C,FL,330,0,0,4.46,2.7,0.415,0.093049327,3
32,OTHER,0,4.875,484000,2/1/2019,4/1/2019,57,57,2,22,747,808,747,777.5,C,MA,20,0,0,4.46,2.7,0.415,0.093049327,3
33,QUICKEN LOANS INC.,0,4.75,125000,2/1/2019,4/1/2019,60,60,1,23,636,636,636,636,C,IN,460,0,0,4.46,2.7,0.29,0.065022422,3
34,QUICKEN LOANS INC.,0,4.75,192000,2/1/2019,4/1/2019,63,63,2,31,774,792,774,783,C,FL,333,0,0,4.46,2.7,0.29,0.065022422,3
35,"WELLS FARGO BANK, N.A.",0,5.375,256000,2/1/2019,4/1/2019,80,80,2,22,714,718,714,716,C,WA,983,0,0,4.46,2.7,0.915,0.205156951,5
36,"WELLS FARGO BANK, N.A.",2,4.375,473000,2/1/2019,4/1/2019,76,76,1,42,696,696,696,696,R,CA,906,0,0,4.46,2.7,-0.085,-0.019058296,2
37,OTHER,0,5.375,72000,2/1/2019,4/1/2019,85,85,1,28,699,699,699,699,R,MS,390,12,1,4.46,2.7,0.915,0.205156951,5
38,QUICKEN LOANS INC.,0,4.99,157000,2/1/2019,4/1/2019,60,60,1,26,727,727,727,727,C,MI,493,0,0,4.46,2.7,0.53,0.118834081,4
39,OTHER,0,5,367000,2/1/2019,4/1/2019,72,72,1,47,685,685,685,685,C,MA,18,0,0,4.46,2.7,0.54,0.121076233,4
40,OTHER,2,4.5,132000,2/1/2019,4/1/2019,70,70,1,33,696,696,696,696,R,MN,550,0,0,4.46,2.7,0.04,0.00896861,2
41,OTHER,0,5.5,150000,2/1/2019,4/1/2019,50,50,1,45,668,668,668,668,C,TX,754,0,0,4.46,2.7,1.04,0.233183857,5
42,"AMERIHOME MORTGAGE COMPANY, LLC",2,5.875,156000,2/1/2019,4/1/2019,78,78,1,39,697,697,697,697,C,TX,760,0,0,4.46,2.7,1.415,0.317264574,6
43,QUICKEN LOANS INC.,0,5.125,109000,2/1/2019,4/1/2019,70,70,2,16,665,712,665,688.5,C,KY,410,0,0,4.46,2.7,0.665,0.149103139,4
44,PENNYMAC CORP.,0,4.75,173000,2/1/2019,5/1/2019,75,75,2,43,690,787,690,738.5,R,GA,305,0,0,4.46,2.7,0.29,0.065022422,3
45,"AMERIHOME MORTGAGE COMPANY, LLC",1,4.875,244000,2/1/2019,4/1/2019,77,77,1,29,779,779,779,779,C,MI,483,0,0,4.46,2.7,0.415,0.093049327,3
46,"AMERIHOME MORTGAGE COMPANY, LLC",1,5.375,126000,2/1/2019,4/1/2019,68,68,1,37,631,631,631,631,C,SC,296,0,0,4.46,2.7,0.915,0.205156951,5
47,"AMERIHOME MORTGAGE COMPANY, LLC",1,4.125,175000,2/1/2019,4/1/2019,50,50,1,41,806,806,806,806,C,CA,913,0,0,4.46,2.7,-0.335,-0.075112108,1
48,"AMERIHOME MORTGAGE COMPANY, LLC",1,5.25,680000,2/1/2019,4/1/2019,80,80,1,42,773,773,773,773,C,CA,906,0,0,4.46,2.7,0.79,0.177130045,4
49,DITECH FINANCIAL LLC,1,5.25,445000,2/1/2019,5/1/2019,62,62,1,44,767,767,767,767,C,CA,950,0,0,4.46,2.7,0.79,0.177130045,4
50,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,1,4.875,280000,2/1/2019,4/1/2019,80,80,1,45,696,696,696,696,C,TX,754,0,0,4.46,2.7,0.415,0.093049327,3
51,"FLAGSTAR BANK, FSB",1,4.999,420000,2/1/2019,4/1/2019,80,80,1,31,771,771,771,771,C,CA,945,0,0,4.46,2.7,0.539,0.120852018,4
52,FREEDOM MORTGAGE CORP.,1,4.25,275000,2/1/2019,4/1/2019,69,69,1,36,763,763,763,763,C,MI,483,0,0,4.46,2.7,-0.21,-0.047085202,2
53,FREEDOM MORTGAGE CORP.,1,4.75,460000,2/1/2019,4/1/2019,72,72,1,42,710,710,710,710,C,MA,20,0,0,4.46,2.7,0.29,0.065022422,3
54,FREEDOM MORTGAGE CORP.,1,4.875,200000,2/1/2019,4/1/2019,80,80,1,49,794,794,794,794,C,MD,210,0,0,4.46,2.7,0.415,0.093049327,3
55,"LAKEVIEW LOAN SERVICING, LLC",1,3.75,335000,2/1/2019,4/1/2019,77,77,1,45,738,738,738,738,C,FL,325,0,0,4.46,2.7,-0.71,-0.159192825,0
56,DITECH FINANCIAL LLC,1,4.25,280000,2/1/2019,4/1/2019,56,56,1,25,808,808,808,808,C,CA,930,0,0,4.46,2.7,-0.21,-0.047085202,2
57,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,1,4.875,484000,2/1/2019,4/1/2019,59,78,1,27,733,733,733,733,C,GA,303,0,0,4.46,2.7,0.415,0.093049327,3
58,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,1,5.25,275000,2/1/2019,4/1/2019,52,52,1,31,631,631,631,631,C,NJ,77,0,0,4.46,2.7,0.79,0.177130045,4
59,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,1,4.75,122000,2/1/2019,4/1/2019,73,73,1,38,804,804,804,804,C,AL,356,0,0,4.46,2.7,0.29,0.065022422,3
60,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,1,4.75,585000,2/1/2019,4/1/2019,35,35,1,43,820,820,820,820,C,CA,941,0,0,4.46,2.7,0.29,0.065022422,3
61,"FLAGSTAR BANK, FSB",1,4.686,113000,2/1/2019,4/1/2019,41,41,1,38,792,792,792,792,C,MI,491,0,0,4.46,2.7,0.226,0.050672646,3
62,"FLAGSTAR BANK, FSB",1,5.375,308000,2/1/2019,4/1/2019,70,70,1,43,642,642,642,642,C,CA,917,0,0,4.46,2.7,0.915,0.205156951,5
63,"FLAGSTAR BANK, FSB",1,4.99,374000,2/1/2019,4/1/2019,80,80,1,45,734,734,734,734,C,TX,761,0,0,4.46,2.7,0.53,0.118834081,4
64,"FLAGSTAR BANK, FSB",1,4.875,208000,2/1/2019,4/1/2019,73,73,1,48,728,728,728,728,C,WA,986,0,0,4.46,2.7,0.415,0.093049327,3
65,FREEDOM MORTGAGE CORP.,1,5.875,391000,2/1/2019,4/1/2019,80,80,1,37,662,662,662,662,C,NC,276,0,0,4.46,2.7,1.415,0.317264574,6
66,"LAKEVIEW LOAN SERVICING, LLC",1,4.75,150000,2/1/2019,4/1/2019,59,59,1,27,790,790,790,790,C,RI,29,0,0,4.46,2.7,0.29,0.065022422,3
67,"LAKEVIEW LOAN SERVICING, LLC",1,5.125,110000,2/1/2019,4/1/2019,63,63,1,28,664,664,664,664,C,AL,357,0,0,4.46,2.7,0.665,0.149103139,4
68,"LAKEVIEW LOAN SERVICING, LLC",1,5.125,230000,2/1/2019,4/1/2019,61,61,1,43,647,647,647,647,C,CA,925,0,0,4.46,2.7,0.665,0.149103139,4
69,OTHER,1,4.75,284000,2/1/2019,4/1/2019,67,67,1,23,817,817,817,817,C,CO,802,0,0,4.46,2.7,0.29,0.065022422,3
70,OTHER,1,4.625,484000,2/1/2019,4/1/2019,49,49,1,28,811,811,811,811,C,CA,951,0,0,4.46,2.7,0.165,0.036995516,3
71,OTHER,1,4.75,157000,2/1/2019,4/1/2019,50,50,1,30,660,660,660,660,C,CO,802,0,0,4.46,2.7,0.29,0.065022422,3
72,OTHER,1,5.25,183000,2/1/2019,4/1/2019,80,80,1,32,691,691,691,691,C,FL,337,0,0,4.46,2.7,0.79,0.177130045,4
73,OTHER,1,4.375,238000,2/1/2019,4/1/2019,60,60,1,33,711,711,711,711,C,CA,928,0,0,4.46,2.7,-0.085,-0.019058296,2
74,OTHER,1,4.25,420000,2/1/2019,4/1/2019,80,80,1,33,703,703,703,703,C,NY,114,0,0,4.46,2.7,-0.21,-0.047085202,2
75,OTHER,1,4.5,396000,2/1/2019,4/1/2019,80,80,1,34,745,745,745,745,C,TX,786,0,0,4.46,2.7,0.04,0.00896861,2
76,OTHER,1,6.375,135000,2/1/2019,4/1/2019,71,71,1,35,657,657,657,657,C,NE,687,0,0,4.46,2.7,1.915,0.429372197,7
77,OTHER,1,4.75,200000,2/1/2019,4/1/2019,80,80,1,35,765,765,765,765,C,PA,190,0,0,4.46,2.7,0.29,0.065022422,3
78,OTHER,1,4.25,484000,2/1/2019,4/1/2019,50,50,1,36,716,716,716,716,C,OR,970,0,0,4.46,2.7,-0.21,-0.047085202,2
79,OTHER,1,4.75,131000,2/1/2019,4/1/2019,70,70,1,36,801,801,801,801,C,SC,291,0,0,4.46,2.7,0.29,0.065022422,3
80,OTHER,1,4.5,182000,2/1/2019,4/1/2019,46,46,1,37,722,722,722,722,C,NM,875,0,0,4.46,2.7,0.04,0.00896861,2
81,OTHER,1,4.75,484000,2/1/2019,4/1/2019,34,34,1,37,795,795,795,795,C,NY,113,0,0,4.46,2.7,0.29,0.065022422,3
82,OTHER,1,4.75,154000,2/1/2019,4/1/2019,65,65,1,37,745,745,745,745,C,WI,530,0,0,4.46,2.7,0.29,0.065022422,3
83,OTHER,1,4.5,220000,2/1/2019,4/1/2019,49,49,1,39,777,777,777,777,C,CA,907,0,0,4.46,2.7,0.04,0.00896861,2
84,OTHER,1,5.25,280000,2/1/2019,4/1/2019,70,70,1,39,698,698,698,698,C,CA,925,0,0,4.46,2.7,0.79,0.177130045,4
85,OTHER,1,5.75,101000,2/1/2019,4/1/2019,64,64,1,40,689,689,689,689,C,IL,606,0,0,4.46,2.7,1.29,0.289237668,6
86,OTHER,1,4.75,173000,2/1/2019,4/1/2019,60,60,1,40,637,637,637,637,C,TX,750,0,0,4.46,2.7,0.29,0.065022422,3
87,OTHER,1,4.375,232000,2/1/2019,4/1/2019,36,36,1,41,780,780,780,780,C,CA,928,0,0,4.46,2.7,-0.085,-0.019058296,2
88,OTHER,1,4.5,450000,2/1/2019,4/1/2019,50,50,1,41,779,779,779,779,C,CA,940,0,0,4.46,2.7,0.04,0.00896861,2
89,OTHER,1,4.75,212000,2/1/2019,4/1/2019,80,80,1,41,751,751,751,751,C,CA,958,0,0,4.46,2.7,0.29,0.065022422,3
90,OTHER,1,5.75,325000,2/1/2019,4/1/2019,73,73,1,41,676,676,676,676,C,NY,125,0,0,4.46,2.7,1.29,0.289237668,6
91,OTHER,1,4.375,215000,2/1/2019,4/1/2019,54,54,1,41,821,821,821,821,C,OR,974,0,0,4.46,2.7,-0.085,-0.019058296,2
92,OTHER,1,5.25,356000,2/1/2019,4/1/2019,80,80,1,43,691,691,691,691,C,CA,956,0,0,4.46,2.7,0.79,0.177130045,4
93,OTHER,1,5,233000,2/1/2019,4/1/2019,80,80,1,43,747,747,747,747,C,TX,750,0,0,4.46,2.7,0.54,0.121076233,4
94,OTHER,1,5.55,135000,2/1/2019,4/1/2019,63,63,1,44,687,687,687,687,C,AZ,852,0,0,4.46,2.7,1.09,0.244394619,5
95,OTHER,1,5,115000,2/1/2019,4/1/2019,42,42,1,44,711,711,711,711,C,CT,64,0,0,4.46,2.7,0.54,0.121076233,4
96,OTHER,1,4.75,158000,2/1/2019,4/1/2019,70,70,1,44,737,737,737,737,C,FL,342,0,0,4.46,2.7,0.29,0.065022422,3
97,OTHER,1,4.75,234000,2/1/2019,4/1/2019,75,75,1,44,738,738,738,738,C,OR,974,0,0,4.46,2.7,0.29,0.065022422,3
98,OTHER,1,5.25,304000,2/1/2019,4/1/2019,80,80,1,45,786,786,786,786,C,NC,289,0,0,4.46,2.7,0.79,0.177130045,4
99,OTHER,1,4.875,369000,2/1/2019,4/1/2019,74,74,1,46,726,726,726,726,C,CA,935,0,0,4.46,2.7,0.415,0.093049327,3
100,OTHER,1,4.875,277000,2/1/2019,4/1/2019,79,79,1,46,774,774,774,774,C,CT,64,0,0,4.46,2.7,0.415,0.093049327,3
101,OTHER,1,4.375,432000,2/1/2019,4/1/2019,80,80,1,46,779,779,779,779,C,OR,970,0,0,4.46,2.7,-0.085,-0.019058296,2
102,OTHER,1,4.5,80000,2/1/2019,4/1/2019,38,38,1,47,808,808,808,808,C,PA,170,0,0,4.46,2.7,0.04,0.00896861,2
103,OTHER,1,5.375,318000,2/1/2019,4/1/2019,80,80,1,49,688,688,688,688,C,FL,330,0,0,4.46,2.7,0.915,0.205156951,5
104,OTHER,1,4.875,100000,2/1/2019,4/1/2019,62,62,1,50,699,699,699,699,C,CA,933,0,0,4.46,2.7,0.415,0.093049327,3
105,OTHER,1,4.5,160000,2/1/2019,5/1/2019,80,80,1,50,755,755,755,755,C,ID,837,0,0,4.46,2.7,0.04,0.00896861,2
106,QUICKEN LOANS INC.,0,4.99,161000,2/1/2019,4/1/2019,69,69,1,45,726,726,726,726,R,PA,173,0,0,4.46,2.7,0.53,0.118834081,4
107,QUICKEN LOANS INC.,0,4.5,290000,2/1/2019,4/1/2019,53,53,1,46,700,700,700,700,R,FL,334,0,0,4.46,2.7,0.04,0.00896861,2
108,QUICKEN LOANS INC.,0,4.5,304000,2/1/2019,4/1/2019,58,58,1,46,765,765,765,765,R,MA,18,0,0,4.46,2.7,0.04,0.00896861,2
109,QUICKEN LOANS INC.,0,4.99,103000,2/1/2019,4/1/2019,75,75,1,46,648,648,648,648,R,NC,285,0,0,4.46,2.7,0.53,0.118834081,4
110,QUICKEN LOANS INC.,0,4.99,105000,2/1/2019,4/1/2019,69,69,1,46,729,729,729,729,R,PA,183,0,0,4.46,2.7,0.53,0.118834081,4
111,QUICKEN LOANS INC.,0,4.5,466000,2/1/2019,4/1/2019,70,70,1,47,685,685,685,685,R,CA,956,0,0,4.46,2.7,0.04,0.00896861,2
112,QUICKEN LOANS INC.,0,5.5,469000,2/1/2019,4/1/2019,74,74,1,47,643,643,643,643,R,CA,921,0,0,4.46,2.7,1.04,0.233183857,5
113,QUICKEN LOANS INC.,0,4.25,265000,2/1/2019,4/1/2019,80,80,1,47,748,748,748,748,R,CA,925,0,0,4.46,2.7,-0.21,-0.047085202,2
114,QUICKEN LOANS INC.,0,4.75,285000,2/1/2019,4/1/2019,75,75,1,48,663,663,663,663,R,AZ,863,0,0,4.46,2.7,0.29,0.065022422,3
115,QUICKEN LOANS INC.,0,4.75,367000,2/1/2019,4/1/2019,80,80,1,48,721,721,721,721,R,FL,330,0,0,4.46,2.7,0.29,0.065022422,3
116,QUICKEN LOANS INC.,0,4.75,160000,2/1/2019,4/1/2019,80,80,1,48,731,731,731,731,R,MI,483,0,0,4.46,2.7,0.29,0.065022422,3
117,QUICKEN LOANS INC.,0,4.875,461000,2/1/2019,4/1/2019,53,53,1,48,805,805,805,805,R,NY,117,0,0,4.46,2.7,0.415,0.093049327,3
118,QUICKEN LOANS INC.,0,4.5,110000,2/1/2019,4/1/2019,64,64,1,49,799,799,799,799,R,AR,726,0,0,4.46,2.7,0.04,0.00896861,2
119,QUICKEN LOANS INC.,0,4.375,256000,2/1/2019,4/1/2019,67,67,1,49,784,784,784,784,R,AZ,852,0,0,4.46,2.7,-0.085,-0.019058296,2
120,QUICKEN LOANS INC.,0,4.75,190000,2/1/2019,4/1/2019,43,43,1,49,687,687,687,687,R,CA,921,0,0,4.46,2.7,0.29,0.065022422,3
121,QUICKEN LOANS INC.,0,4.75,498000,2/1/2019,4/1/2019,58,58,1,49,815,815,815,815,R,CA,945,0,0,4.46,2.7,0.29,0.065022422,3
122,QUICKEN LOANS INC.,0,4.56,430000,2/1/2019,4/1/2019,75,75,1,49,691,691,691,691,R,DC,200,0,0,4.46,2.7,0.1,0.022421525,2
123,QUICKEN LOANS INC.,0,4.75,236000,2/1/2019,4/1/2019,42,42,1,49,670,670,670,670,R,NJ,76,0,0,4.46,2.7,0.29,0.065022422,3
124,QUICKEN LOANS INC.,0,4.875,71000,2/1/2019,4/1/2019,80,80,1,49,778,778,778,778,R,VA,241,0,0,4.46,2.7,0.415,0.093049327,3
125,QUICKEN LOANS INC.,0,4.99,428000,2/1/2019,4/1/2019,75,75,1,50,750,750,750,750,R,CA,945,0,0,4.46,2.7,0.53,0.118834081,4
126,QUICKEN LOANS INC.,0,4.99,145000,2/1/2019,4/1/2019,54,54,1,50,803,803,803,803,R,OR,975,0,0,4.46,2.7,0.53,0.118834081,4
127,QUICKEN LOANS INC.,0,4.75,265000,2/1/2019,4/1/2019,78,78,1,50,710,710,710,710,R,RI,29,0,0,4.46,2.7,0.29,0.065022422,3
128,TRUIST BANK (FORMERLY SUNTRUST BANK),0,5.1,155000,2/1/2019,4/1/2019,78,78,1,28,771,771,771,771,R,MO,648,0,0,4.46,2.7,0.64,0.143497758,4
129,TRUIST BANK (FORMERLY SUNTRUST BANK),0,4.99,458000,2/1/2019,4/1/2019,64,68,1,29,752,752,752,752,R,NC,282,0,0,4.46,2.7,0.53,0.118834081,4
130,TRUIST BANK (FORMERLY SUNTRUST BANK),0,4.99,56000,2/1/2019,4/1/2019,80,80,1,39,786,786,786,786,R,TX,790,0,0,4.46,2.7,0.53,0.118834081,4
131,TRUIST BANK (FORMERLY SUNTRUST BANK),0,4.99,179000,2/1/2019,4/1/2019,78,78,1,49,758,758,758,758,R,IA,503,0,0,4.46,2.7,0.53,0.118834081,4
132,U.S. BANK N.A.,0,4.625,89000,2/1/2019,4/1/2019,23,23,1,37,797,797,797,797,R,CA,924,0,0,4.46,2.7,0.165,0.036995516,3
133,U.S. BANK N.A.,0,4.625,200000,2/1/2019,4/1/2019,21,21,1,41,806,806,806,806,R,WA,981,0,0,4.46,2.7,0.165,0.036995516,3
134,U.S. BANK N.A.,0,4.5,415000,2/1/2019,4/1/2019,80,80,1,47,781,781,781,781,R,CT,69,0,0,4.46,2.7,0.04,0.00896861,2
135,"WELLS FARGO BANK, N.A.",0,4.75,84000,2/1/2019,4/1/2019,67,67,1,25,759,759,759,759,R,OH,457,0,0,4.46,2.7,0.29,0.065022422,3
136,"WELLS FARGO BANK, N.A.",0,5.25,91000,2/1/2019,4/1/2019,80,80,1,27,773,773,773,773,R,AL,360,0,0,4.46,2.7,0.79,0.177130045,4
137,"WELLS FARGO BANK, N.A.",0,4.875,237000,2/1/2019,4/1/2019,67,67,1,27,819,819,819,819,R,PA,160,0,0,4.46,2.7,0.415,0.093049327,3
138,"WELLS FARGO BANK, N.A.",0,4.875,158000,2/1/2019,4/1/2019,27,27,1,28,812,812,812,812,R,NY,105,0,0,4.46,2.7,0.415,0.093049327,3
139,"WELLS FARGO BANK, N.A.",0,4.375,322000,2/1/2019,4/1/2019,54,54,1,34,683,683,683,683,R,CA,959,0,0,4.46,2.7,-0.085,-0.019058296,2
140,"WELLS FARGO BANK, N.A.",0,4.625,400000,2/1/2019,4/1/2019,44,44,1,37,675,675,675,675,R,CA,947,0,0,4.46,2.7,0.165,0.036995516,3
141,"WELLS FARGO BANK, N.A.",0,4.625,283000,2/1/2019,4/1/2019,77,77,1,37,745,745,745,745,R,NJ,77,0,0,4.46,2.7,0.165,0.036995516,3
142,"WELLS FARGO BANK, N.A.",0,4.75,183000,2/1/2019,4/1/2019,67,67,1,38,799,799,799,799,R,MN,551,0,0,4.46,2.7,0.29,0.065022422,3
143,"WELLS FARGO BANK, N.A.",0,4.625,141000,2/1/2019,4/1/2019,32,32,1,38,801,801,801,801,R,NJ,77,0,0,4.46,2.7,0.165,0.036995516,3
144,"WELLS FARGO BANK, N.A.",0,4.625,302000,2/1/2019,4/1/2019,76,76,1,38,773,773,773,773,R,OH,442,0,0,4.46,2.7,0.165,0.036995516,3
145,"WELLS FARGO BANK, N.A.",0,4.75,416000,2/1/2019,4/1/2019,80,80,1,39,777,777,777,777,R,CA,920,0,0,4.46,2.7,0.29,0.065022422,3
146,"WELLS FARGO BANK, N.A.",0,4.5,130000,2/1/2019,4/1/2019,72,72,1,39,768,768,768,768,R,NM,882,0,0,4.46,2.7,0.04,0.00896861,2
147,"WELLS FARGO BANK, N.A.",0,4.375,246000,2/1/2019,4/1/2019,56,56,1,41,711,711,711,711,R,NJ,77,0,0,4.46,2.7,-0.085,-0.019058296,2
148,"WELLS FARGO BANK, N.A.",0,4.5,216000,2/1/2019,4/1/2019,80,80,1,43,725,725,725,725,R,AZ,850,0,0,4.46,2.7,0.04,0.00896861,2
149,"WELLS FARGO BANK, N.A.",0,4.625,205000,2/1/2019,4/1/2019,78,78,1,43,710,710,710,710,R,DE,198,0,0,4.46,2.7,0.165,0.036995516,3
150,"WELLS FARGO BANK, N.A.",0,5.25,92000,2/1/2019,4/1/2019,28,28,1,45,691,691,691,691,R,FL,330,0,0,4.46,2.7,0.79,0.177130045,4
151,"WELLS FARGO BANK, N.A.",0,4.875,210000,2/1/2019,4/1/2019,70,70,1,45,773,773,773,773,R,TX,751,0,0,4.46,2.7,0.415,0.093049327,3
152,"WELLS FARGO BANK, N.A.",0,4.875,155000,2/1/2019,4/1/2019,43,43,1,48,746,746,746,746,R,CO,805,0,0,4.46,2.7,0.415,0.093049327,3
153,"WELLS FARGO BANK, N.A.",0,4.625,193000,2/1/2019,4/1/2019,75,75,1,48,766,766,766,766,R,FL,320,0,0,4.46,2.7,0.165,0.036995516,3
154,"WELLS FARGO BANK, N.A.",0,4.75,420000,2/1/2019,4/1/2019,55,55,1,49,724,724,724,724,R,OR,972,0,0,4.46,2.7,0.29,0.065022422,3
155,"WELLS FARGO BANK, N.A.",0,4.25,193000,2/1/2019,4/1/2019,52,52,1,50,741,741,741,741,R,MN,550,0,0,4.46,2.7,-0.21,-0.047085202,2
156,"AMERIHOME MORTGAGE COMPANY, LLC",0,4.875,299000,2/1/2019,4/1/2019,67,67,2,39,774,793,774,783.5,R,MI,490,0,0,4.46,2.7,0.415,0.093049327,3
157,DITECH FINANCIAL LLC,0,4.875,369000,2/1/2019,4/1/2019,68,68,2,22,648,651,648,649.5,R,MA,21,0,0,4.46,2.7,0.415,0.093049327,3
