iter	Passed	Remaining
417	2688	3743
418	2694	3736
419	2701	3730
420	2707	3723
421	2713	3717
422	2720	3710
423	2726	3703
424	2732	3697
425	2738	3690
426	2745	3683
427	2751	3677
428	2757	3670
429	2764	3664
430	2770	3658
431	2776	3651
432	2783	3644
433	2789	3637
434	2796	3632
435	2802	3625
436	2808	3618
437	2814	3611
438	2821	3605
439	2826	3597
440	2833	3591
441	2841	3587
442	2848	3581
443	2854	3575
444	2861	3568
445	2867	3561
446	2873	3554
447	2879	3547
448	2885	3541
449	2892	3534
450	2898	3528
451	2904	3521
452	2911	3515
453	2917	3509
454	2923	3502
455	2930	3495
456	2936	3489
457	2942	3482
458	2949	3475
459	2955	3469
460	2961	3462
461	2967	3455
462	2973	3448
463	2979	3442
464	2985	3435
465	2991	3428
466	2998	3421
467	3004	3415
468	3010	3408
469	3017	3402
470	3023	3395
471	3029	3388
472	3035	3382
473	3041	3375
474	3048	3368
475	3054	3362
476	3060	3355
477	3066	3348
478	3072	3341
479	3078	3334
480	3084	3328
481	3090	3321
482	3097	3315
483	3103	3308
484	3109	3301
485	3115	3295
486	3121	3288
487	3128	3282
488	3134	3275
489	3140	3268
490	3146	3262
491	3154	3256
492	3161	3250
493	3167	3243
494	3173	3237
495	3179	3231
496	3186	3224
497	3192	3217
498	3198	3211
499	3205	3205
500	3211	3198
501	3217	3191
502	3223	3185
503	3230	3178
504	3238	3174
505	3244	3167
506	3250	3161
507	3257	3154
508	3263	3147
509	3269	3140
510	3275	3134
511	3281	3127
512	3287	3121
513	3293	3114
514	3299	3107
515	3306	3101
516	3312	3094
517	3318	3088
518	3325	3081
519	3331	3075
520	3337	3068
521	3343	3061
522	3349	3055
523	3356	3048
524	3362	3041
525	3368	3035
526	3374	3028
527	3381	3022
528	3387	3015
529	3393	3009
530	3399	3002
531	3405	2995
532	3411	2989
533	3417	2982
534	3426	2977
535	3434	2972
536	3442	2968
537	3448	2961
538	3454	2954
539	3461	2948
540	3467	2941
541	3476	2937
542	3482	2931
543	3489	2924
544	3495	2918
545	3501	2911
546	3508	2905
547	3514	2898
548	3520	2891
549	3526	2885
550	3532	2878
551	3539	2872
552	3545	2865
553	3551	2859
554	3558	2852
555	3564	2846
556	3571	2840
557	3577	2833
558	3583	2826
559	3590	2821
560	3596	2814
561	3603	2808
562	3609	2801
563	3615	2794
564	3621	2788
565	3627	2781
566	3633	2774
567	3639	2768
568	3645	2761
569	3652	2755
570	3658	2748
571	3664	2742
572	3670	2735
573	3676	2728
574	3685	2723
575	3691	2717
576	3699	2711
577	3705	2705
578	3714	2700
579	3720	2694
580	3727	2687
581	3733	2681
582	3739	2674
583	3746	2668
584	3752	2662
585	3758	2655
586	3765	2649
587	3771	2642
588	3777	2635
589	3786	2631
590	3792	2624
591	3799	2618
592	3805	2612
593	3812	2606
594	3818	2599
595	3825	2592
596	3831	2586
597	3838	2580
598	3844	2574
599	3851	2567
600	3857	2560
601	3863	2554
602	3869	2547
603	3875	2541
604	3882	2534
605	3888	2528
606	3894	2521
607	3900	2514
608	3906	2508
609	3913	2501
610	3919	2495
611	3926	2489
612	3932	2482
613	3938	2475
614	3944	2469
615	3950	2462
616	3956	2456
617	3963	2449
618	3969	2442
619	3975	2436
620	3981	2429
621	3987	2423
622	3993	2416
623	3999	2410
624	4005	2403
625	4012	2397
626	4018	2390
627	4024	2384
628	4031	2377
629	4037	2371
630	4043	2364
631	4049	2358
632	4055	2351
633	4062	2345
634	4068	2338
635	4074	2332
636	4081	2325
637	4087	2319
638	4096	2314
639	4103	2308
640	4110	2302
641	4116	2295
642	4123	2289
643	4129	2282
644	4135	2276
645	4141	2269
646	4148	2263
647	4154	2256
648	4160	2250
649	4166	2243
650	4173	2237
651	4179	2230
652	4186	2224
653	4194	2219
654	4200	2212
655	4207	2206
656	4214	2200
657	4220	2193
658	4228	2187
659	4234	2181
660	4240	2174
661	4247	2168
662	4253	2161
663	4259	2155
664	4265	2148
665	4271	2142
666	4278	2135
667	4284	2129
668	4291	2123
669	4297	2116
670	4303	2110
671	4309	2103
672	4315	2096
673	4322	2090
674	4328	2083
675	4334	2077
676	4340	2070
677	4347	2064
678	4354	2058
679	4365	2054
680	4380	2051
681	4392	2047
682	4405	2044
683	4414	2039
684	4429	2036
685	4437	2031
686	4446	2025
687	4455	2020
688	4466	2016
689	4477	2011
690	4486	2006
691	4494	2000
692	4503	1995
693	4514	1990
694	4523	1985
695	4533	1980
696	4540	1973
697	4547	1967
698	4553	1960
699	4559	1954
700	4565	1947
701	4571	1940
702	4577	1933
703	4584	1927
704	4590	1920
705	4596	1914
706	4602	1907
707	4608	1900
708	4614	1894
709	4621	1887
710	4627	1880
711	4633	1874
712	4639	1867
713	4645	1860
714	4651	1854
715	4658	1847
716	4664	1841
717	4670	1834
718	4677	1827
719	4683	1821
720	4689	1814
721	4696	1808
722	4702	1801
723	4708	1794
724	4714	1788
725	4720	1781
726	4728	1775
727	4735	1769
728	4741	1762
729	4748	1756
730	4754	1749
731	4760	1743
732	4767	1736
733	4773	1729
734	4779	1723
735	4785	1716
736	4791	1709
737	4797	1703
738	4803	1696
739	4809	1689
740	4815	1683
741	4822	1676
742	4828	1669
743	4834	1663
744	4840	1656
745	4847	1650
746	4853	1643
747	4859	1637
748	4866	1630
749	4872	1624
750	4878	1617
751	4885	1611
752	4891	1604
753	4897	1597
754	4904	1591
755	4909	1584
756	4916	1578
757	4922	1571
758	4928	1565
759	4935	1558
760	4941	1551
761	4947	1545
762	4953	1538
763	4959	1532
764	4966	1525
765	4971	1518
766	4978	1512
767	4984	1505
768	4990	1499
769	4997	1492
770	5003	1486
771	5009	1479
772	5015	1472
773	5021	1466
774	5027	1459
775	5034	1453
776	5041	1446
777	5049	1440
778	5055	1434
779	5062	1427
780	5068	1421
781	5075	1414
782	5082	1408
783	5088	1401
784	5094	1395
785	5100	1388
786	5106	1382
787	5112	1375
788	5120	1369
789	5127	1362
790	5133	1356
791	5139	1349
792	5145	1343
793	5151	1336
794	5157	1329
795	5163	1323
796	5171	1317
797	5178	1310
798	5184	1304
799	5191	1297
800	5197	1291
801	5203	1284
802	5212	1278
803	5218	1272
804	5224	1265
805	5230	1259
806	5236	1252
807	5242	1245
808	5249	1239
809	5255	1232
810	5261	1226
811	5267	1219
812	5274	1213
813	5280	1206
814	5286	1200
815	5292	1193
816	5299	1186
817	5305	1180
818	5311	1173
819	5317	1167
820	5323	1160
821	5330	1154
822	5336	1147
823	5343	1141
824	5349	1134
825	5355	1128
826	5363	1122
827	5369	1115
828	5376	1109
829	5383	1102
830	5389	1096
831	5396	1089
832	5403	1083
833	5413	1077
834	5422	1071
835	5428	1065
836	5435	1058
837	5441	1052
838	5448	1045
839	5454	1038
840	5460	1032
841	5466	1025
842	5472	1019
843	5479	1012
844	5485	1006
845	5492	999
846	5498	993
847	5504	986
848	5510	980
849	5516	973
850	5523	967
851	5529	960
852	5536	954
853	5542	947
854	5548	940
855	5554	934
856	5561	927
857	5567	921
858	5573	914
859	5580	908
860	5586	901
861	5592	895
862	5598	888
863	5604	882
864	5611	875
865	5617	869
866	5623	862
867	5630	856
868	5636	849
869	5642	843
870	5648	836
871	5655	830
872	5661	823
873	5667	816
874	5674	810
875	5681	804
876	5688	797
877	5694	791
878	5700	784
879	5706	778
880	5712	771
881	5719	765
882	5725	758
883	5731	752
884	5737	745
885	5743	739
886	5750	732
887	5756	726
888	5762	719
889	5768	713
890	5775	706
891	5781	700
892	5787	693
893	5793	686
894	5799	680
895	5806	673
896	5812	667
897	5818	660
898	5824	654
899	5830	647
900	5836	641
901	5842	634
902	5848	628
903	5855	621
904	5861	615
905	5867	608
906	5873	602
907	5879	595
908	5885	589
909	5892	582
910	5898	576
911	5904	569
912	5910	563
913	5917	556
914	5923	550
915	5929	543
916	5935	537
917	5942	530
918	5948	524
919	5954	517
920	5960	511
921	5966	504
922	5972	498
923	5979	491
924	5988	485
925	5995	479
926	6000	472
927	6007	466
928	6013	459
929	6019	453
930	6025	446
931	6031	440
932	6037	433
933	6044	427
934	6050	420
935	6056	414
936	6062	407
937	6069	401
938	6075	394
939	6081	388
940	6087	381
941	6094	375
942	6100	368
943	6106	362
944	6112	355
945	6119	349
946	6125	342
947	6131	336
948	6138	329
949	6144	323
950	6150	316
951	6159	310
952	6165	304
953	6172	297
954	6178	291
955	6184	284
956	6191	278
957	6198	271
958	6204	265
959	6211	258
960	6217	252
961	6224	245
962	6230	239
963	6237	232
964	6243	226
965	6249	219
966	6255	213
967	6262	207
968	6268	200
969	6274	194
970	6280	187
971	6287	181
972	6293	174
973	6302	168
974	6308	161
975	6315	155
976	6322	148
977	6328	142
978	6334	135
979	6341	129
980	6347	122
981	6353	116
982	6359	109
983	6365	103
984	6372	97
985	6382	90
986	6391	84
987	6397	77
988	6403	71
989	6410	64
990	6416	58
991	6422	51
992	6428	45
993	6434	38
994	6441	32
995	6447	25
996	6453	19
997	6459	12
998	6466	6
999	6472	0
